,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party,Democrats,Republicans
0,California,6,1,0,22.9,Democrats,1,0
1,California,6,2,0,22.9,Democrats,1,0
2,California,6,2,0,22.9,Democrats,1,0
3,California,6,2,0,22.9,Democrats,1,0
4,California,6,2,0,22.9,Democrats,1,0
5,California,6,2,0,22.9,Democrats,1,0
6,California,6,3,0,22.9,Democrats,1,0
7,California,6,3,0,22.9,Democrats,1,0
8,California,6,6,0,22.9,Democrats,1,0
9,California,6,6,0,22.9,Democrats,1,0
10,California,6,6,0,22.9,Democrats,1,0
11,California,6,6,0,22.9,Democrats,1,0
12,California,6,6,0,22.9,Democrats,1,0
13,California,6,6,0,22.9,Democrats,1,0
14,California,6,6,0,22.9,Democrats,1,0
15,California,6,6,0,22.9,Democrats,1,0
16,California,6,7,0,22.9,Democrats,1,0
17,California,6,7,0,22.9,Democrats,1,0
18,California,6,7,0,22.9,Democrats,1,0
19,California,6,7,0,22.9,Democrats,1,0
20,California,6,7,0,22.9,Democrats,1,0
21,California,6,7,0,22.9,Democrats,1,0
22,California,6,7,0,22.9,Democrats,1,0
23,California,6,7,0,22.9,Democrats,1,0
24,California,6,7,0,22.9,Democrats,1,0
25,California,6,7,0,22.9,Democrats,1,0
26,California,6,8,0,22.9,Democrats,1,0
27,California,6,9,0,22.9,Democrats,1,0
28,California,6,9,0,22.9,Democrats,1,0
29,California,6,9,0,22.9,Democrats,1,0
30,California,6,11,0,22.9,Democrats,1,0
31,California,6,11,0,22.9,Democrats,1,0
32,California,6,26,0,22.9,Democrats,1,0
33,California,6,26,0,22.9,Democrats,1,0
34,California,6,27,0,22.9,Democrats,1,0
35,California,6,28,0,22.9,Democrats,1,0
36,California,6,33,0,22.9,Democrats,1,0
37,California,6,38,0,22.9,Democrats,1,0
38,California,6,45,0,22.9,Democrats,1,0
39,California,6,55,1,22.9,Democrats,1,0
40,California,6,67,1,22.9,Democrats,1,0
41,California,6,81,1,22.9,Democrats,1,0
42,California,6,100,1,22.9,Democrats,1,0
43,California,6,112,1,22.9,Democrats,1,0
44,California,6,172,2,22.9,Democrats,1,0
45,California,6,179,3,22.9,Democrats,1,0
46,California,6,202,4,22.9,Democrats,1,0
47,California,6,252,4,22.9,Democrats,1,0
48,California,6,320,5,22.9,Democrats,1,0
49,California,6,381,5,22.9,Democrats,1,0
50,California,6,478,6,22.9,Democrats,1,0
51,California,6,588,11,22.9,Democrats,1,0
52,California,6,732,14,22.9,Democrats,1,0
53,California,6,893,17,22.9,Democrats,1,0
54,California,6,1067,19,22.9,Democrats,1,0
55,California,6,1283,24,22.9,Democrats,1,0
56,California,6,1544,28,22.9,Democrats,1,0
57,California,6,1851,35,22.9,Democrats,1,0
58,California,6,2240,39,22.9,Democrats,1,0
59,California,6,2644,52,22.9,Democrats,1,0
60,California,6,3183,68,22.9,Democrats,1,0
61,California,6,4060,83,22.9,Democrats,1,0
62,California,6,4915,104,22.9,Democrats,1,0
63,California,6,5566,122,22.9,Democrats,1,0
64,California,6,6321,132,22.9,Democrats,1,0
65,California,6,7421,147,22.9,Democrats,1,0
66,California,6,8583,184,22.9,Democrats,1,0
67,California,6,9857,212,22.9,Democrats,1,0
68,California,6,11190,247,22.9,Democrats,1,0
69,California,6,12569,282,22.9,Democrats,1,0
70,California,6,13796,323,22.9,Democrats,1,0
71,California,6,15202,351,22.9,Democrats,1,0
72,California,6,16361,386,22.9,Democrats,1,0
73,California,6,17540,447,22.9,Democrats,1,0
74,California,6,19043,506,22.9,Democrats,1,0
75,California,6,20191,548,22.9,Democrats,1,0
76,California,6,21366,594,22.9,Democrats,1,0
77,California,6,22421,632,22.9,Democrats,1,0
78,California,6,23323,676,22.9,Democrats,1,0
79,California,6,24334,725,22.9,Democrats,1,0
80,California,6,25758,778,22.9,Democrats,1,0
81,California,6,27107,885,22.9,Democrats,1,0
82,California,6,28142,971,22.9,Democrats,1,0
83,California,6,29398,1050,22.9,Democrats,1,0
84,California,6,30829,1146,22.9,Democrats,1,0
85,California,6,31544,1176,22.9,Democrats,1,0
86,California,6,33862,1223,22.9,Democrats,1,0
87,California,6,35844,1316,22.9,Democrats,1,0
88,California,6,37573,1425,22.9,Democrats,1,0
89,California,6,39534,1548,22.9,Democrats,1,0
90,California,6,41368,1619,22.9,Democrats,1,0
91,California,6,42590,1692,22.9,Democrats,1,0
92,California,6,43691,1716,22.9,Democrats,1,0
93,California,6,45208,1800,22.9,Democrats,1,0
94,California,6,46570,1884,22.9,Democrats,1,0
95,California,6,48904,1961,22.9,Democrats,1,0
96,California,6,50470,2057,22.9,Democrats,1,0
97,California,6,52318,2147,22.9,Democrats,1,0
98,California,6,53753,2213,22.9,Democrats,1,0
99,California,6,55072,2235,22.9,Democrats,1,0
100,California,6,56333,2297,22.9,Democrats,1,0
101,California,6,58848,2386,22.9,Democrats,1,0
102,California,6,60787,2478,22.9,Democrats,1,0
103,California,6,62481,2561,22.9,Democrats,1,0
104,California,6,64616,2650,22.9,Democrats,1,0
105,California,6,66824,2732,22.9,Democrats,1,0
106,California,6,68051,2769,22.9,Democrats,1,0
107,California,6,69514,2820,22.9,Democrats,1,0
108,California,6,71150,2902,22.9,Democrats,1,0
109,California,6,73218,3014,22.9,Democrats,1,0
110,California,6,74947,3039,22.9,Democrats,1,0
111,California,6,77015,3192,22.9,Democrats,1,0
112,California,6,78933,3254,22.9,Democrats,1,0
113,California,6,80366,3290,22.9,Democrats,1,0
114,California,6,81943,3322,22.9,Democrats,1,0
115,California,6,83981,3422,22.9,Democrats,1,0
116,California,6,86125,3514,22.9,Democrats,1,0
117,California,6,88488,3624,22.9,Democrats,1,0
118,California,6,90801,3690,22.9,Democrats,1,0
119,California,6,92815,3768,22.9,Democrats,1,0
120,California,6,94743,3790,22.9,Democrats,1,0
121,California,6,97017,3808,22.9,Democrats,1,0
122,California,6,99924,3859,22.9,Democrats,1,0
123,California,6,101873,3961,22.9,Democrats,1,0
124,California,6,104071,4042,22.9,Democrats,1,0
125,California,6,107043,4144,22.9,Democrats,1,0
126,California,6,110100,4214,22.9,Democrats,1,0
127,California,6,113114,4242,22.9,Democrats,1,0
128,California,6,115643,4287,22.9,Democrats,1,0
129,California,6,118081,4360,22.9,Democrats,1,0
130,California,6,120407,4422,22.9,Democrats,1,0
131,California,6,122917,4484,22.9,Democrats,1,0
132,California,6,126510,4550,22.9,Democrats,1,0
133,California,6,129147,4626,22.9,Democrats,1,0
134,California,6,131997,4653,22.9,Democrats,1,0
135,California,6,134287,4679,22.9,Democrats,1,0
136,California,6,137245,4775,22.9,Democrats,1,0
137,California,6,140139,4869,22.9,Democrats,1,0
138,California,6,143709,4941,22.9,Democrats,1,0
139,California,6,147285,4986,22.9,Democrats,1,0
